#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,11:40:01 AM		Spectrum@IST : Series #= 2, Group = 1Description = Created on 1/30/2019,11:40:01 AM		Spectrum@IST : Series = 2, Group = #1Description = Created on 1/30/2019,1:43:14 PM	
#Angle of Incidence : 0.00		Angle of Incidence : 0.00		Angle of Incidence : 0.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	0.00E+00	649	1.00E-11	649	0.00E+00
649.0069011	0.00E+00	649.0069011	1.00E-11	649.0069011	0.00E+00
649.0138022	0.00E+00	649.0138022	1.00E-11	649.0138022	0.00E+00
649.0207033	0.00E+00	649.0207033	1.00E-11	649.0207033	0
649.0276043	0.00E+00	649.0276043	1.00E-11	649.0276043	0
649.0345054	0.00E+00	649.0345054	1.00E-11	649.0345054	0
649.0414065	0.00E+00	649.0414065	1.00E-11	649.0414065	0
649.0483076	0.00E+00	649.0483076	1.00E-11	649.0483076	0
649.0552087	0.00E+00	649.0552087	1.00E-11	649.0552087	0
649.0621098	0.00E+00	649.0621098	1.00E-11	649.0621098	0
649.0690108	0.00E+00	649.0690108	1.00E-11	649.0690108	0
649.0759119	0.00E+00	649.0759119	1.00E-11	649.0759119	0
649.082813	0.00E+00	649.082813	1.00E-11	649.082813	0
649.0897141	0.00E+00	649.0897141	1.00E-11	649.0897141	0
649.0966152	0.00E+00	649.0966152	1.00E-11	649.0966152	0
649.1035163	0.00E+00	649.1035163	1.00E-11	649.1035163	0
649.1104174	0.00E+00	649.1104174	1.00E-11	649.1104174	0
649.1173184	0.00E+00	649.1173184	1.00E-11	649.1173184	0
649.1242195	0.00E+00	649.1242195	1.00E-11	649.1242195	0
649.1311206	0.00E+00	649.1311206	1.00E-11	649.1311206	0
649.1380217	0.00E+00	649.1380217	1.00E-11	649.1380217	0
649.1449228	0.00E+00	649.1449228	1.00E-11	649.1449228	0
649.1518239	0.00E+00	649.1518239	1.00E-11	649.1518239	0
649.1587249	0.00E+00	649.1587249	1.00E-11	649.1587249	0
649.165626	0.00E+00	649.165626	1.00E-11	649.165626	0
649.1725271	0.00E+00	649.1725271	1.00E-11	649.1725271	0
649.1794282	0.00E+00	649.1794282	1.00E-11	649.1794282	0
649.1863293	0.00E+00	649.1863293	1.00E-11	649.1863293	0
649.1932304	0.00E+00	649.1932304	1.00E-11	649.1932304	0
649.2001314	0.00E+00	649.2001314	1.00E-11	649.2001314	0
649.2070325	0.00E+00	649.2070325	1.00E-11	649.2070325	0
649.2139336	0.00E+00	649.2139336	1.00E-11	649.2139336	0
649.2208347	0.00E+00	649.2208347	1.00E-11	649.2208347	0
649.2277358	0.00E+00	649.2277358	1.00E-11	649.2277358	0
649.2346369	0.00E+00	649.2346369	1.00E-11	649.2346369	0
649.241538	0.00E+00	649.241538	1.00E-11	649.241538	0
649.248439	0.00E+00	649.248439	1.00E-11	649.248439	0
649.2553401	0.00E+00	649.2553401	1.00E-11	649.2553401	0
649.2622412	0.00E+00	649.2622412	1.00E-11	649.2622412	0
649.2691423	0.00E+00	649.2691423	1.00E-11	649.2691423	0
649.2760434	0.00E+00	649.2760434	1.00E-11	649.2760434	0
649.2829445	0.00E+00	649.2829445	1.00E-11	649.2829445	0
649.2898455	0.00E+00	649.2898455	1.00E-11	649.2898455	0
649.2967466	0.00E+00	649.2967466	1.00E-11	649.2967466	0
649.3036477	0.00E+00	649.3036477	1.00E-11	649.3036477	0
649.3105488	0.00E+00	649.3105488	1.00E-11	649.3105488	0
649.3174499	0.00E+00	649.3174499	1.00E-11	649.3174499	0
649.324351	0.00E+00	649.324351	1.00E-11	649.324351	0
649.3312521	0.00E+00	649.3312521	1.00E-11	649.3312521	0
649.3381531	0.00E+00	649.3381531	1.00E-11	649.3381531	0
649.3450542	0.00E+00	649.3450542	1.00E-11	649.3450542	0
649.3519553	0.00E+00	649.3519553	1.00E-11	649.3519553	0
649.3588564	0.00E+00	649.3588564	1.00E-11	649.3588564	0
649.3657575	0.00E+00	649.3657575	1.00E-11	649.3657575	0
649.3726586	0.00E+00	649.3726586	1.00E-11	649.3726586	0
649.3795596	0.00E+00	649.3795596	1.00E-11	649.3795596	0
649.3864607	0.00E+00	649.3864607	1.00E-11	649.3864607	0
649.3933618	0.00E+00	649.3933618	1.00E-11	649.3933618	0
649.4002629	0.00E+00	649.4002629	1.00E-11	649.4002629	0
649.407164	0.00E+00	649.407164	1.00E-11	649.407164	0
649.4140651	0.00E+00	649.4140651	1.00E-11	649.4140651	0
649.4209662	0.00E+00	649.4209662	1.00E-11	649.4209662	0
649.4278672	0.00E+00	649.4278672	1.00E-11	649.4278672	0
649.4347683	0.00E+00	649.4347683	1.00E-11	649.4347683	0
649.4416694	0.00E+00	649.4416694	1.00E-11	649.4416694	0
649.4485705	0.00E+00	649.4485705	1.00E-11	649.4485705	0
649.4554716	0.00E+00	649.4554716	1.00E-11	649.4554716	0
649.4623727	0.00E+00	649.4623727	1.00E-11	649.4623727	0
649.4692737	0.00E+00	649.4692737	1.00E-11	649.4692737	0
649.4761748	0.00E+00	649.4761748	1.00E-11	649.4761748	0
649.4830759	0.00E+00	649.4830759	1.00E-11	649.4830759	0
649.489977	0.00E+00	649.489977	1.00E-11	649.489977	0
649.4968781	0.00E+00	649.4968781	1.00E-11	649.4968781	0
649.5037792	0.00E+00	649.5037792	1.00E-11	649.5037792	0
649.5106802	0.00E+00	649.5106802	1.00E-11	649.5106802	0
649.5175813	0.00E+00	649.5175813	1.00E-11	649.5175813	0
649.5244824	0.00E+00	649.5244824	1.00E-11	649.5244824	0
649.5313835	0.00E+00	649.5313835	1.00E-11	649.5313835	0
649.5382846	0.00E+00	649.5382846	1.00E-11	649.5382846	0
649.5451857	0.00E+00	649.5451857	1.00E-11	649.5451857	0
649.5520868	0.00E+00	649.5520868	1.00E-11	649.5520868	0
649.5589878	0.00E+00	649.5589878	1.00E-11	649.5589878	0
649.5658889	0.00E+00	649.5658889	1.00E-11	649.5658889	0
649.57279	0.00E+00	649.57279	1.00E-11	649.57279	0
649.5796911	0.00E+00	649.5796911	2.00E-11	649.5796911	0
649.5865922	0.00E+00	649.5865922	2.00E-11	649.5865922	0
649.5934933	0.00E+00	649.5934933	2.00E-11	649.5934933	0
649.6003943	0.00E+00	649.6003943	2.00E-11	649.6003943	0
649.6072954	0.00E+00	649.6072954	2.00E-11	649.6072954	0
649.6141965	0.00E+00	649.6141965	2.00E-11	649.6141965	0
649.6210976	0.00E+00	649.6210976	2.00E-11	649.6210976	0
649.6279987	0.00E+00	649.6279987	2.00E-11	649.6279987	0
649.6348998	0.00E+00	649.6348998	2.00E-11	649.6348998	0
649.6418009	0.00E+00	649.6418009	2.00E-11	649.6418009	0
649.6487019	0.00E+00	649.6487019	2.00E-11	649.6487019	0
649.655603	0.00E+00	649.655603	2.00E-11	649.655603	0
649.6625041	0.00E+00	649.6625041	2.00E-11	649.6625041	0
649.6694052	0.00E+00	649.6694052	2.00E-11	649.6694052	0
649.6763063	0.00E+00	649.6763063	2.00E-11	649.6763063	0
649.6832074	0.00E+00	649.6832074	2.00E-11	649.6832074	0
649.6901084	0.00E+00	649.6901084	2.00E-11	649.6901084	0
649.6970095	0.00E+00	649.6970095	2.00E-11	649.6970095	0
649.7039106	0.00E+00	649.7039106	2.00E-11	649.7039106	0
649.7108117	0.00E+00	649.7108117	2.00E-11	649.7108117	0
649.7177128	0.00E+00	649.7177128	2.00E-11	649.7177128	0
649.7246139	0.00E+00	649.7246139	2.00E-11	649.7246139	0
649.731515	0.00E+00	649.731515	2.00E-11	649.731515	0
649.738416	0.00E+00	649.738416	2.00E-11	649.738416	0
649.7453171	0.00E+00	649.7453171	2.00E-11	649.7453171	0
649.7522182	0.00E+00	649.7522182	2.00E-11	649.7522182	0
649.7591193	0.00E+00	649.7591193	2.00E-11	649.7591193	0
649.7660204	0.00E+00	649.7660204	2.00E-11	649.7660204	0
649.7729215	0.00E+00	649.7729215	2.00E-11	649.7729215	0
649.7798225	0.00E+00	649.7798225	2.00E-11	649.7798225	0
649.7867236	0.00E+00	649.7867236	2.00E-11	649.7867236	0
649.7936247	0.00E+00	649.7936247	2.00E-11	649.7936247	0
649.8005258	0.00E+00	649.8005258	2.00E-11	649.8005258	0
649.8074269	0.00E+00	649.8074269	2.00E-11	649.8074269	0
649.814328	0.00E+00	649.814328	2.00E-11	649.814328	0
649.8212291	0.00E+00	649.8212291	2.00E-11	649.8212291	1E-11
649.8281301	0.00E+00	649.8281301	2.00E-11	649.8281301	1E-11
649.8350312	1.00E-11	649.8350312	2.00E-11	649.8350312	1E-11
649.8419323	1.00E-11	649.8419323	2.00E-11	649.8419323	1E-11
649.8488334	1.00E-11	649.8488334	2.00E-11	649.8488334	1E-11
649.8557345	1.00E-11	649.8557345	2.00E-11	649.8557345	1E-11
649.8626356	1.00E-11	649.8626356	2.00E-11	649.8626356	1E-11
649.8695366	1.00E-11	649.8695366	2.00E-11	649.8695366	1E-11
649.8764377	1.00E-11	649.8764377	2.00E-11	649.8764377	1E-11
649.8833388	1.00E-11	649.8833388	2.00E-11	649.8833388	1E-11
649.8902399	1.00E-11	649.8902399	2.00E-11	649.8902399	1E-11
649.897141	1.00E-11	649.897141	2.00E-11	649.897141	1E-11
649.9040421	1.00E-11	649.9040421	2.00E-11	649.9040421	1E-11
649.9109431	1.00E-11	649.9109431	2.00E-11	649.9109431	1E-11
649.9178442	1.00E-11	649.9178442	2.00E-11	649.9178442	1E-11
649.9247453	1.00E-11	649.9247453	2.00E-11	649.9247453	1E-11
649.9316464	1.00E-11	649.9316464	2.00E-11	649.9316464	1E-11
649.9385475	1.00E-11	649.9385475	2.00E-11	649.9385475	1E-11
649.9454486	1.00E-11	649.9454486	2.00E-11	649.9454486	1E-11
649.9523497	1.00E-11	649.9523497	2.00E-11	649.9523497	1E-11
649.9592507	1.00E-11	649.9592507	2.00E-11	649.9592507	1E-11
649.9661518	1.00E-11	649.9661518	2.00E-11	649.9661518	1E-11
649.9730529	1.00E-11	649.9730529	2.00E-11	649.9730529	1E-11
649.979954	1.00E-11	649.979954	2.00E-11	649.979954	1E-11
649.9868551	1.00E-11	649.9868551	2.00E-11	649.9868551	1E-11
649.9937562	1.00E-11	649.9937562	2.00E-11	649.9937562	1E-11
650.0006572	1.00E-11	650.0006572	2.00E-11	650.0006572	1E-11
650.0075583	1.00E-11	650.0075583	2.00E-11	650.0075583	1E-11
650.0144594	1.00E-11	650.0144594	2.00E-11	650.0144594	1E-11
650.0213605	1.00E-11	650.0213605	2.00E-11	650.0213605	1E-11
650.0282616	1.00E-11	650.0282616	2.00E-11	650.0282616	1E-11
650.0351627	1.00E-11	650.0351627	2.00E-11	650.0351627	1E-11
650.0420638	1.00E-11	650.0420638	2.00E-11	650.0420638	1E-11
650.0489648	1.00E-11	650.0489648	2.00E-11	650.0489648	1E-11
650.0558659	1.00E-11	650.0558659	2.00E-11	650.0558659	1E-11
650.062767	1.00E-11	650.062767	2.00E-11	650.062767	1E-11
650.0696681	1.00E-11	650.0696681	2.00E-11	650.0696681	1E-11
650.0765692	1.00E-11	650.0765692	2.00E-11	650.0765692	1E-11
650.0834703	1.00E-11	650.0834703	2.00E-11	650.0834703	1E-11
650.0903713	1.00E-11	650.0903713	2.00E-11	650.0903713	1E-11
650.0972724	1.00E-11	650.0972724	3.00E-11	650.0972724	1E-11
650.1041735	1.00E-11	650.1041735	3.00E-11	650.1041735	1E-11
650.1110746	1.00E-11	650.1110746	3.00E-11	650.1110746	1E-11
650.1179757	1.00E-11	650.1179757	3.00E-11	650.1179757	1E-11
650.1248768	1.00E-11	650.1248768	3.00E-11	650.1248768	1E-11
650.1317779	1.00E-11	650.1317779	3.00E-11	650.1317779	1E-11
650.1386789	1.00E-11	650.1386789	3.00E-11	650.1386789	1E-11
650.14558	1.00E-11	650.14558	3.00E-11	650.14558	1E-11
650.1524811	1.00E-11	650.1524811	3.00E-11	650.1524811	1E-11
650.1593822	1.00E-11	650.1593822	3.00E-11	650.1593822	1E-11
650.1662833	1.00E-11	650.1662833	3.00E-11	650.1662833	1E-11
650.1731844	1.00E-11	650.1731844	3.00E-11	650.1731844	1E-11
650.1800854	1.00E-11	650.1800854	3.00E-11	650.1800854	1E-11
650.1869865	1.00E-11	650.1869865	3.00E-11	650.1869865	1E-11
650.1938876	1.00E-11	650.1938876	3.00E-11	650.1938876	1E-11
650.2007887	1.00E-11	650.2007887	3.00E-11	650.2007887	1E-11
650.2076898	1.00E-11	650.2076898	3.00E-11	650.2076898	1E-11
650.2145909	1.00E-11	650.2145909	3.00E-11	650.2145909	1E-11
650.2214919	1.00E-11	650.2214919	3.00E-11	650.2214919	1E-11
650.228393	1.00E-11	650.228393	3.00E-11	650.228393	1E-11
650.2352941	1.00E-11	650.2352941	3.00E-11	650.2352941	1E-11
650.2421952	1.00E-11	650.2421952	3.00E-11	650.2421952	1E-11
650.2490963	1.00E-11	650.2490963	3.00E-11	650.2490963	1E-11
650.2559974	1.00E-11	650.2559974	3.00E-11	650.2559974	1E-11
650.2628985	1.00E-11	650.2628985	3.00E-11	650.2628985	1E-11
650.2697995	1.00E-11	650.2697995	3.00E-11	650.2697995	1E-11
650.2767006	1.00E-11	650.2767006	3.00E-11	650.2767006	1E-11
650.2836017	1.00E-11	650.2836017	3.00E-11	650.2836017	1E-11
650.2905028	1.00E-11	650.2905028	3.00E-11	650.2905028	1E-11
650.2974039	1.00E-11	650.2974039	3.00E-11	650.2974039	1E-11
650.304305	1.00E-11	650.304305	3.00E-11	650.304305	1E-11
650.311206	1.00E-11	650.311206	3.00E-11	650.311206	1E-11
650.3181071	1.00E-11	650.3181071	3.00E-11	650.3181071	1E-11
650.3250082	1.00E-11	650.3250082	3.00E-11	650.3250082	1E-11
650.3319093	1.00E-11	650.3319093	3.00E-11	650.3319093	1E-11
650.3388104	1.00E-11	650.3388104	3.00E-11	650.3388104	1E-11
650.3457115	1.00E-11	650.3457115	3.00E-11	650.3457115	1E-11
650.3526126	1.00E-11	650.3526126	3.00E-11	650.3526126	1E-11
650.3595136	1.00E-11	650.3595136	3.00E-11	650.3595136	1E-11
650.3664147	1.00E-11	650.3664147	3.00E-11	650.3664147	1E-11
650.3733158	1.00E-11	650.3733158	3.00E-11	650.3733158	1E-11
650.3802169	1.00E-11	650.3802169	3.00E-11	650.3802169	1E-11
650.387118	1.00E-11	650.387118	3.00E-11	650.387118	1E-11
650.3940191	1.00E-11	650.3940191	3.00E-11	650.3940191	1E-11
650.4009201	1.00E-11	650.4009201	3.00E-11	650.4009201	1E-11
650.4078212	1.00E-11	650.4078212	3.00E-11	650.4078212	1E-11
650.4147223	1.00E-11	650.4147223	3.00E-11	650.4147223	1E-11
650.4216234	1.00E-11	650.4216234	4.00E-11	650.4216234	1E-11
650.4285245	1.00E-11	650.4285245	4.00E-11	650.4285245	1E-11
650.4354256	1.00E-11	650.4354256	4.00E-11	650.4354256	1E-11
650.4423267	1.00E-11	650.4423267	4.00E-11	650.4423267	1E-11
650.4492277	1.00E-11	650.4492277	4.00E-11	650.4492277	1E-11
650.4561288	1.00E-11	650.4561288	4.00E-11	650.4561288	1E-11
650.4630299	1.00E-11	650.4630299	4.00E-11	650.4630299	1E-11
650.469931	1.00E-11	650.469931	4.00E-11	650.469931	1E-11
650.4768321	1.00E-11	650.4768321	4.00E-11	650.4768321	1E-11
650.4837332	1.00E-11	650.4837332	4.00E-11	650.4837332	1E-11
650.4906342	1.00E-11	650.4906342	4.00E-11	650.4906342	1E-11
650.4975353	1.00E-11	650.4975353	4.00E-11	650.4975353	1E-11
650.5044364	1.00E-11	650.5044364	4.00E-11	650.5044364	1E-11
650.5113375	1.00E-11	650.5113375	4.00E-11	650.5113375	1E-11
650.5182386	1.00E-11	650.5182386	4.00E-11	650.5182386	1E-11
650.5251397	1.00E-11	650.5251397	4.00E-11	650.5251397	1E-11
650.5320407	1.00E-11	650.5320407	4.00E-11	650.5320407	1E-11
650.5389418	1.00E-11	650.5389418	4.00E-11	650.5389418	1E-11
650.5458429	1.00E-11	650.5458429	4.00E-11	650.5458429	1E-11
650.552744	1.00E-11	650.552744	4.00E-11	650.552744	1E-11
650.5596451	1.00E-11	650.5596451	4.00E-11	650.5596451	1E-11
650.5665462	1.00E-11	650.5665462	4.00E-11	650.5665462	1E-11
650.5734473	1.00E-11	650.5734473	4.00E-11	650.5734473	1E-11
650.5803483	1.00E-11	650.5803483	4.00E-11	650.5803483	1E-11
650.5872494	1.00E-11	650.5872494	4.00E-11	650.5872494	1E-11
650.5941505	1.00E-11	650.5941505	4.00E-11	650.5941505	1E-11
650.6010516	1.00E-11	650.6010516	4.00E-11	650.6010516	1E-11
650.6079527	1.00E-11	650.6079527	4.00E-11	650.6079527	1E-11
650.6148538	1.00E-11	650.6148538	4.00E-11	650.6148538	1E-11
650.6217548	1.00E-11	650.6217548	4.00E-11	650.6217548	1E-11
650.6286559	1.00E-11	650.6286559	4.00E-11	650.6286559	1E-11
650.635557	1.00E-11	650.635557	4.00E-11	650.635557	1E-11
650.6424581	1.00E-11	650.6424581	4.00E-11	650.6424581	1E-11
650.6493592	1.00E-11	650.6493592	5.00E-11	650.6493592	1E-11
650.6562603	1.00E-11	650.6562603	5.00E-11	650.6562603	1E-11
650.6631614	1.00E-11	650.6631614	5.00E-11	650.6631614	1E-11
650.6700624	1.00E-11	650.6700624	5.00E-11	650.6700624	1E-11
650.6769635	1.00E-11	650.6769635	5.00E-11	650.6769635	1E-11
650.6838646	1.00E-11	650.6838646	5.00E-11	650.6838646	1E-11
650.6907657	1.00E-11	650.6907657	5.00E-11	650.6907657	1E-11
650.6976668	1.00E-11	650.6976668	5.00E-11	650.6976668	1E-11
650.7045679	1.00E-11	650.7045679	5.00E-11	650.7045679	1E-11
650.7114689	1.00E-11	650.7114689	5.00E-11	650.7114689	1E-11
650.71837	1.00E-11	650.71837	5.00E-11	650.71837	1E-11
650.7252711	1.00E-11	650.7252711	5.00E-11	650.7252711	1E-11
650.7321722	1.00E-11	650.7321722	5.00E-11	650.7321722	1E-11
650.7390733	1.00E-11	650.7390733	5.00E-11	650.7390733	1E-11
650.7459744	1.00E-11	650.7459744	5.00E-11	650.7459744	1E-11
650.7528755	1.00E-11	650.7528755	5.00E-11	650.7528755	1E-11
650.7597765	1.00E-11	650.7597765	5.00E-11	650.7597765	1E-11
650.7666776	1.00E-11	650.7666776	5.00E-11	650.7666776	1E-11
650.7735787	1.00E-11	650.7735787	5.00E-11	650.7735787	1E-11
650.7804798	1.00E-11	650.7804798	5.00E-11	650.7804798	1E-11
650.7873809	1.00E-11	650.7873809	5.00E-11	650.7873809	1E-11
650.794282	1.00E-11	650.794282	5.00E-11	650.794282	1E-11
650.801183	1.00E-11	650.801183	5.00E-11	650.801183	1E-11
650.8080841	1.00E-11	650.8080841	5.00E-11	650.8080841	1E-11
650.8149852	1.00E-11	650.8149852	5.00E-11	650.8149852	1E-11
650.8218863	1.00E-11	650.8218863	6.00E-11	650.8218863	1E-11
650.8287874	1.00E-11	650.8287874	6.00E-11	650.8287874	1E-11
650.8356885	1.00E-11	650.8356885	6.00E-11	650.8356885	1E-11
650.8425895	1.00E-11	650.8425895	6.00E-11	650.8425895	1E-11
650.8494906	1.00E-11	650.8494906	6.00E-11	650.8494906	1E-11
