#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,2:38:09 PM		Spectrum@IST : #Series = 2, Group = 1Description = Created on 1/30/2019,2:38:09 PM		Spectrum@IST : Series = 2, Group = #1Description = Created on 1/30/2019,2:38:45 PM	
#Angle of Incidence : 10.00		Angle of Incidence : 10.00		Angle of Incidence : 10.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	2.00E-11	649	2.50E-02	649	2.00E-11
649.0069011	2.00E-11	649.0069011	2.53E-02	649.0069011	2.00E-11
649.0138022	2.00E-11	649.0138022	2.57E-02	649.0138022	2.00E-11
649.0207033	2.00E-11	649.0207033	2.60E-02	649.0207033	2E-11
649.0276043	2.00E-11	649.0276043	2.64E-02	649.0276043	2E-11
649.0345054	2.00E-11	649.0345054	2.67E-02	649.0345054	2E-11
649.0414065	2.00E-11	649.0414065	2.70E-02	649.0414065	2E-11
649.0483076	2.00E-11	649.0483076	2.73E-02	649.0483076	2E-11
649.0552087	2.00E-11	649.0552087	2.76E-02	649.0552087	2E-11
649.0621098	2.00E-11	649.0621098	2.79E-02	649.0621098	2E-11
649.0690108	2.00E-11	649.0690108	2.82E-02	649.0690108	2E-11
649.0759119	2.00E-11	649.0759119	2.84E-02	649.0759119	2E-11
649.082813	2.00E-11	649.082813	2.86E-02	649.082813	2E-11
649.0897141	2.00E-11	649.0897141	2.89E-02	649.0897141	2E-11
649.0966152	2.00E-11	649.0966152	2.91E-02	649.0966152	2E-11
649.1035163	2.00E-11	649.1035163	2.92E-02	649.1035163	3E-11
649.1104174	2.00E-11	649.1104174	2.94E-02	649.1104174	3E-11
649.1173184	2.00E-11	649.1173184	2.96E-02	649.1173184	3E-11
649.1242195	2.00E-11	649.1242195	2.97E-02	649.1242195	3E-11
649.1311206	2.00E-11	649.1311206	2.99E-02	649.1311206	3E-11
649.1380217	2.00E-11	649.1380217	3.01E-02	649.1380217	3E-11
649.1449228	2.00E-11	649.1449228	3.02E-02	649.1449228	3E-11
649.1518239	2.00E-11	649.1518239	3.04E-02	649.1518239	3E-11
649.1587249	2.00E-11	649.1587249	3.05E-02	649.1587249	3E-11
649.165626	2.00E-11	649.165626	3.07E-02	649.165626	3E-11
649.1725271	2.00E-11	649.1725271	3.09E-02	649.1725271	3E-11
649.1794282	2.00E-11	649.1794282	3.11E-02	649.1794282	3E-11
649.1863293	2.00E-11	649.1863293	3.13E-02	649.1863293	3E-11
649.1932304	2.00E-11	649.1932304	3.16E-02	649.1932304	3E-11
649.2001314	2.00E-11	649.2001314	3.19E-02	649.2001314	3E-11
649.2070325	2.00E-11	649.2070325	3.22E-02	649.2070325	3E-11
649.2139336	2.00E-11	649.2139336	3.25E-02	649.2139336	3E-11
649.2208347	2.00E-11	649.2208347	3.28E-02	649.2208347	3E-11
649.2277358	2.00E-11	649.2277358	3.32E-02	649.2277358	3E-11
649.2346369	3.00E-11	649.2346369	3.36E-02	649.2346369	3E-11
649.241538	3.00E-11	649.241538	3.41E-02	649.241538	3E-11
649.248439	3.00E-11	649.248439	3.46E-02	649.248439	3E-11
649.2553401	3.00E-11	649.2553401	3.50E-02	649.2553401	3E-11
649.2622412	3.00E-11	649.2622412	3.55E-02	649.2622412	3E-11
649.2691423	3.00E-11	649.2691423	3.61E-02	649.2691423	3E-11
649.2760434	3.00E-11	649.2760434	3.66E-02	649.2760434	3E-11
649.2829445	3.00E-11	649.2829445	3.71E-02	649.2829445	3E-11
649.2898455	3.00E-11	649.2898455	3.75E-02	649.2898455	3E-11
649.2967466	3.00E-11	649.2967466	3.80E-02	649.2967466	3E-11
649.3036477	3.00E-11	649.3036477	3.84E-02	649.3036477	3E-11
649.3105488	3.00E-11	649.3105488	3.88E-02	649.3105488	3E-11
649.3174499	3.00E-11	649.3174499	3.92E-02	649.3174499	3E-11
649.324351	3.00E-11	649.324351	3.95E-02	649.324351	3E-11
649.3312521	3.00E-11	649.3312521	3.98E-02	649.3312521	3E-11
649.3381531	3.00E-11	649.3381531	4.01E-02	649.3381531	3E-11
649.3450542	3.00E-11	649.3450542	4.04E-02	649.3450542	3E-11
649.3519553	3.00E-11	649.3519553	4.06E-02	649.3519553	3E-11
649.3588564	3.00E-11	649.3588564	4.08E-02	649.3588564	3E-11
649.3657575	3.00E-11	649.3657575	4.09E-02	649.3657575	3E-11
649.3726586	3.00E-11	649.3726586	4.11E-02	649.3726586	3E-11
649.3795596	3.00E-11	649.3795596	4.12E-02	649.3795596	3E-11
649.3864607	3.00E-11	649.3864607	4.12E-02	649.3864607	3E-11
649.3933618	3.00E-11	649.3933618	4.13E-02	649.3933618	3E-11
649.4002629	3.00E-11	649.4002629	4.13E-02	649.4002629	3E-11
649.407164	3.00E-11	649.407164	4.12E-02	649.407164	3E-11
649.4140651	3.00E-11	649.4140651	4.11E-02	649.4140651	3E-11
649.4209662	3.00E-11	649.4209662	4.09E-02	649.4209662	3E-11
649.4278672	3.00E-11	649.4278672	4.07E-02	649.4278672	3E-11
