#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,2:38:09 PM		Spectrum@IST : #Series = 2, Group = 1Description = Created on 1/30/2019,2:56:11 PM		Spectrum@IST : Series = 2, Group #= 1Description = Created on 1/30/2019,2:53:46 PM	
#Angle of Incidence : 10.00		Angle of Incidence : 10.00		Angle of Incidence : 10.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	2.00E-11	649	6.57E-03	649	2.00E-11
649.0069011	2.00E-11	649.0069011	6.60E-03	649.0069011	2.00E-11
649.0138022	2.00E-11	649.0138022	6.63E-03	649.0138022	2.00E-11
649.0207033	2.00E-11	649.0207033	6.67E-03	649.0207033	2E-11
649.0276043	2.00E-11	649.0276043	6.72E-03	649.0276043	2E-11
649.0345054	2.00E-11	649.0345054	6.76E-03	649.0345054	2E-11
649.0414065	2.00E-11	649.0414065	6.81E-03	649.0414065	2E-11
649.0483076	2.00E-11	649.0483076	6.86E-03	649.0483076	2E-11
649.0552087	2.00E-11	649.0552087	6.91E-03	649.0552087	2E-11
649.0621098	2.00E-11	649.0621098	6.96E-03	649.0621098	2E-11
649.0690108	2.00E-11	649.0690108	7.01E-03	649.0690108	2E-11
649.0759119	2.00E-11	649.0759119	7.06E-03	649.0759119	2E-11
649.082813	2.00E-11	649.082813	7.10E-03	649.082813	2E-11
649.0897141	2.00E-11	649.0897141	7.15E-03	649.0897141	2E-11
649.0966152	2.00E-11	649.0966152	7.18E-03	649.0966152	2E-11
649.1035163	2.00E-11	649.1035163	7.22E-03	649.1035163	2E-11
649.1104174	2.00E-11	649.1104174	7.26E-03	649.1104174	2E-11
649.1173184	2.00E-11	649.1173184	7.29E-03	649.1173184	2E-11
649.1242195	2.00E-11	649.1242195	7.32E-03	649.1242195	2E-11
649.1311206	2.00E-11	649.1311206	7.35E-03	649.1311206	2E-11
649.1380217	2.00E-11	649.1380217	7.38E-03	649.1380217	3E-11
649.1449228	2.00E-11	649.1449228	7.41E-03	649.1449228	3E-11
649.1518239	2.00E-11	649.1518239	7.44E-03	649.1518239	3E-11
649.1587249	2.00E-11	649.1587249	7.48E-03	649.1587249	3E-11
649.165626	2.00E-11	649.165626	7.51E-03	649.165626	3E-11
649.1725271	2.00E-11	649.1725271	7.55E-03	649.1725271	3E-11
649.1794282	2.00E-11	649.1794282	7.60E-03	649.1794282	3E-11
649.1863293	2.00E-11	649.1863293	7.65E-03	649.1863293	3E-11
649.1932304	2.00E-11	649.1932304	7.70E-03	649.1932304	3E-11
649.2001314	2.00E-11	649.2001314	7.76E-03	649.2001314	3E-11
649.2070325	2.00E-11	649.2070325	7.83E-03	649.2070325	3E-11
649.2139336	2.00E-11	649.2139336	7.90E-03	649.2139336	3E-11
649.2208347	2.00E-11	649.2208347	7.98E-03	649.2208347	3E-11
649.2277358	2.00E-11	649.2277358	8.07E-03	649.2277358	3E-11
649.2346369	3.00E-11	649.2346369	8.17E-03	649.2346369	3E-11
649.241538	3.00E-11	649.241538	8.28E-03	649.241538	3E-11
649.248439	3.00E-11	649.248439	8.39E-03	649.248439	3E-11
649.2553401	3.00E-11	649.2553401	8.51E-03	649.2553401	3E-11
649.2622412	3.00E-11	649.2622412	8.63E-03	649.2622412	3E-11
649.2691423	3.00E-11	649.2691423	8.75E-03	649.2691423	3E-11
649.2760434	3.00E-11	649.2760434	8.87E-03	649.2760434	3E-11
649.2829445	3.00E-11	649.2829445	8.99E-03	649.2829445	3E-11
649.2898455	3.00E-11	649.2898455	9.10E-03	649.2898455	3E-11
649.2967466	3.00E-11	649.2967466	9.20E-03	649.2967466	3E-11
649.3036477	3.00E-11	649.3036477	9.29E-03	649.3036477	3E-11
649.3105488	3.00E-11	649.3105488	9.37E-03	649.3105488	3E-11
649.3174499	3.00E-11	649.3174499	9.43E-03	649.3174499	3E-11
649.324351	3.00E-11	649.324351	9.48E-03	649.324351	3E-11
649.3312521	3.00E-11	649.3312521	9.51E-03	649.3312521	3E-11
649.3381531	3.00E-11	649.3381531	9.53E-03	649.3381531	3E-11
649.3450542	3.00E-11	649.3450542	9.52E-03	649.3450542	3E-11
649.3519553	3.00E-11	649.3519553	9.50E-03	649.3519553	3E-11
649.3588564	3.00E-11	649.3588564	9.46E-03	649.3588564	3E-11
649.3657575	3.00E-11	649.3657575	9.41E-03	649.3657575	3E-11
649.3726586	3.00E-11	649.3726586	9.34E-03	649.3726586	3E-11
649.3795596	3.00E-11	649.3795596	9.25E-03	649.3795596	3E-11
649.3864607	3.00E-11	649.3864607	9.16E-03	649.3864607	3E-11
649.3933618	3.00E-11	649.3933618	9.05E-03	649.3933618	3E-11
649.4002629	3.00E-11	649.4002629	8.94E-03	649.4002629	3E-11
649.407164	3.00E-11	649.407164	8.83E-03	649.407164	3E-11
649.4140651	3.00E-11	649.4140651	8.72E-03	649.4140651	3E-11
649.4209662	3.00E-11	649.4209662	8.61E-03	649.4209662	3E-11
649.4278672	3.00E-11	649.4278672	8.50E-03	649.4278672	3E-11
649.4347683	3.00E-11	649.4347683	8.41E-03	649.4347683	3E-11
649.4416694	3.00E-11	649.4416694	8.32E-03	649.4416694	3E-11
649.4485705	3.00E-11	649.4485705	8.25E-03	649.4485705	3E-11
649.4554716	3.00E-11	649.4554716	8.18E-03	649.4554716	3E-11
649.4623727	3.00E-11	649.4623727	8.14E-03	649.4623727	3E-11
649.4692737	3.00E-11	649.4692737	8.10E-03	649.4692737	3E-11
649.4761748	3.00E-11	649.4761748	8.08E-03	649.4761748	4E-11
649.4830759	3.00E-11	649.4830759	8.07E-03	649.4830759	4E-11
649.489977	3.00E-11	649.489977	8.08E-03	649.489977	4E-11
649.4968781	3.00E-11	649.4968781	8.09E-03	649.4968781	4E-11
649.5037792	3.00E-11	649.5037792	8.12E-03	649.5037792	4E-11
649.5106802	3.00E-11	649.5106802	8.15E-03	649.5106802	4E-11
649.5175813	3.00E-11	649.5175813	8.19E-03	649.5175813	4E-11
649.5244824	3.00E-11	649.5244824	8.24E-03	649.5244824	4E-11
649.5313835	3.00E-11	649.5313835	8.29E-03	649.5313835	4E-11
649.5382846	3.00E-11	649.5382846	8.34E-03	649.5382846	4E-11
649.5451857	3.00E-11	649.5451857	8.39E-03	649.5451857	4E-11
649.5520868	3.00E-11	649.5520868	8.45E-03	649.5520868	4E-11
649.5589878	3.00E-11	649.5589878	8.50E-03	649.5589878	4E-11
649.5658889	3.00E-11	649.5658889	8.56E-03	649.5658889	4E-11
649.57279	3.00E-11	649.57279	8.61E-03	649.57279	4E-11
649.5796911	4.00E-11	649.5796911	8.66E-03	649.5796911	4E-11
649.5865922	4.00E-11	649.5865922	8.71E-03	649.5865922	4E-11
649.5934933	4.00E-11	649.5934933	8.75E-03	649.5934933	4E-11
649.6003943	4.00E-11	649.6003943	8.79E-03	649.6003943	4E-11
649.6072954	4.00E-11	649.6072954	8.84E-03	649.6072954	4E-11
649.6141965	4.00E-11	649.6141965	8.88E-03	649.6141965	4E-11
649.6210976	4.00E-11	649.6210976	8.92E-03	649.6210976	4E-11
649.6279987	4.00E-11	649.6279987	8.96E-03	649.6279987	4E-11
