#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,11:17:35 AM		Spectrum@IST : Series #= 2, Group = 1Description = Created on 1/30/2019,11:17:35 AM		Spectrum@IST : Series = 2, Group = #1Description = Created on 1/30/2019,11:31:35 AM	
#Angle of Incidence : 0.00		Angle of Incidence : 0.00		Angle of Incidence : 0.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	1.11E-07	649	3.31E-07	649	1.13E-07
649.0069011	1.12E-07	649.0069011	3.33E-07	649.0069011	1.13E-07
649.0138022	1.13E-07	649.0138022	3.35E-07	649.0138022	1.14E-07
649.0207033	1.13E-07	649.0207033	3.37E-07	649.0207033	1.1457E-07
649.0276043	1.14E-07	649.0276043	3.39E-07	649.0276043	1.1511E-07
649.0345054	1.14E-07	649.0345054	3.41E-07	649.0345054	1.1566E-07
649.0414065	1.15E-07	649.0414065	3.43E-07	649.0414065	1.1621E-07
649.0483076	1.15E-07	649.0483076	3.45E-07	649.0483076	1.1677E-07
649.0552087	1.16E-07	649.0552087	3.47E-07	649.0552087	1.1733E-07
649.0621098	1.16E-07	649.0621098	3.49E-07	649.0621098	1.1789E-07
649.0690108	1.17E-07	649.0690108	3.51E-07	649.0690108	1.1845E-07
649.0759119	1.17E-07	649.0759119	3.54E-07	649.0759119	1.1902E-07
649.082813	1.18E-07	649.082813	3.56E-07	649.082813	1.1959E-07
649.0897141	1.19E-07	649.0897141	3.58E-07	649.0897141	1.2016E-07
649.0966152	1.19E-07	649.0966152	3.60E-07	649.0966152	1.2074E-07
649.1035163	1.20E-07	649.1035163	3.62E-07	649.1035163	1.2132E-07
649.1104174	1.20E-07	649.1104174	3.64E-07	649.1104174	1.219E-07
649.1173184	1.21E-07	649.1173184	3.67E-07	649.1173184	1.2249E-07
649.1242195	1.21E-07	649.1242195	3.69E-07	649.1242195	1.2308E-07
649.1311206	1.22E-07	649.1311206	3.71E-07	649.1311206	1.2367E-07
649.1380217	1.23E-07	649.1380217	3.73E-07	649.1380217	1.2427E-07
649.1449228	1.23E-07	649.1449228	3.76E-07	649.1449228	1.2487E-07
649.1518239	1.24E-07	649.1518239	3.78E-07	649.1518239	1.2547E-07
649.1587249	1.24E-07	649.1587249	3.80E-07	649.1587249	1.2608E-07
649.165626	1.25E-07	649.165626	3.82E-07	649.165626	1.2669E-07
649.1725271	1.26E-07	649.1725271	3.85E-07	649.1725271	1.273E-07
649.1794282	1.26E-07	649.1794282	3.87E-07	649.1794282	1.2792E-07
649.1863293	1.27E-07	649.1863293	3.89E-07	649.1863293	1.2854E-07
649.1932304	1.27E-07	649.1932304	3.92E-07	649.1932304	1.2916E-07
649.2001314	1.28E-07	649.2001314	3.94E-07	649.2001314	1.2979E-07
649.2070325	1.29E-07	649.2070325	3.97E-07	649.2070325	1.3042E-07
649.2139336	1.29E-07	649.2139336	3.99E-07	649.2139336	1.3105E-07
649.2208347	1.30E-07	649.2208347	4.01E-07	649.2208347	1.3169E-07
649.2277358	1.31E-07	649.2277358	4.04E-07	649.2277358	1.3233E-07
649.2346369	1.31E-07	649.2346369	4.06E-07	649.2346369	1.3298E-07
649.241538	1.32E-07	649.241538	4.09E-07	649.241538	1.3363E-07
649.248439	1.32E-07	649.248439	4.11E-07	649.248439	1.3428E-07
649.2553401	1.33E-07	649.2553401	4.14E-07	649.2553401	1.3494E-07
649.2622412	1.34E-07	649.2622412	4.16E-07	649.2622412	1.356E-07
649.2691423	1.34E-07	649.2691423	4.19E-07	649.2691423	1.3626E-07
649.2760434	1.35E-07	649.2760434	4.22E-07	649.2760434	1.3693E-07
649.2829445	1.36E-07	649.2829445	4.24E-07	649.2829445	1.376E-07
649.2898455	1.36E-07	649.2898455	4.27E-07	649.2898455	1.3827E-07
649.2967466	1.37E-07	649.2967466	4.29E-07	649.2967466	1.3895E-07
649.3036477	1.38E-07	649.3036477	4.32E-07	649.3036477	1.3963E-07
649.3105488	1.38E-07	649.3105488	4.35E-07	649.3105488	1.4032E-07
649.3174499	1.39E-07	649.3174499	4.38E-07	649.3174499	1.4101E-07
649.324351	1.40E-07	649.324351	4.40E-07	649.324351	1.4171E-07
649.3312521	1.40E-07	649.3312521	4.43E-07	649.3312521	1.424E-07
649.3381531	1.41E-07	649.3381531	4.46E-07	649.3381531	1.4311E-07
649.3450542	1.42E-07	649.3450542	4.49E-07	649.3450542	1.4381E-07
649.3519553	1.43E-07	649.3519553	4.51E-07	649.3519553	1.4452E-07
649.3588564	1.43E-07	649.3588564	4.54E-07	649.3588564	1.4524E-07
649.3657575	1.44E-07	649.3657575	4.57E-07	649.3657575	1.4596E-07
649.3726586	1.45E-07	649.3726586	4.60E-07	649.3726586	1.4668E-07
649.3795596	1.45E-07	649.3795596	4.63E-07	649.3795596	1.474E-07
649.3864607	1.46E-07	649.3864607	4.66E-07	649.3864607	1.4814E-07
649.3933618	1.47E-07	649.3933618	4.69E-07	649.3933618	1.4887E-07
649.4002629	1.48E-07	649.4002629	4.71E-07	649.4002629	1.4961E-07
649.407164	1.48E-07	649.407164	4.74E-07	649.407164	1.5035E-07
649.4140651	1.49E-07	649.4140651	4.77E-07	649.4140651	1.511E-07
649.4209662	1.50E-07	649.4209662	4.80E-07	649.4209662	1.5185E-07
649.4278672	1.51E-07	649.4278672	4.83E-07	649.4278672	1.5261E-07
649.4347683	1.51E-07	649.4347683	4.87E-07	649.4347683	1.5337E-07
649.4416694	1.52E-07	649.4416694	4.90E-07	649.4416694	1.5414E-07
649.4485705	1.53E-07	649.4485705	4.93E-07	649.4485705	1.549E-07
649.4554716	1.54E-07	649.4554716	4.96E-07	649.4554716	1.5568E-07
649.4623727	1.54E-07	649.4623727	4.99E-07	649.4623727	1.5646E-07
649.4692737	1.55E-07	649.4692737	5.02E-07	649.4692737	1.5724E-07
649.4761748	1.56E-07	649.4761748	5.05E-07	649.4761748	1.5803E-07
649.4830759	1.57E-07	649.4830759	5.08E-07	649.4830759	1.5882E-07
649.489977	1.57E-07	649.489977	5.12E-07	649.489977	1.5962E-07
649.4968781	1.58E-07	649.4968781	5.15E-07	649.4968781	1.6042E-07
649.5037792	1.59E-07	649.5037792	5.18E-07	649.5037792	1.6122E-07
649.5106802	1.60E-07	649.5106802	5.22E-07	649.5106802	1.6203E-07
649.5175813	1.61E-07	649.5175813	5.25E-07	649.5175813	1.6285E-07
649.5244824	1.61E-07	649.5244824	5.28E-07	649.5244824	1.6367E-07
649.5313835	1.62E-07	649.5313835	5.32E-07	649.5313835	1.645E-07
649.5382846	1.63E-07	649.5382846	5.35E-07	649.5382846	1.6532E-07
649.5451857	1.64E-07	649.5451857	5.38E-07	649.5451857	1.6616E-07
649.5520868	1.65E-07	649.5520868	5.42E-07	649.5520868	0.000000167
649.5589878	1.66E-07	649.5589878	5.45E-07	649.5589878	1.6784E-07
649.5658889	1.66E-07	649.5658889	5.49E-07	649.5658889	1.6869E-07
649.57279	1.67E-07	649.57279	5.52E-07	649.57279	1.6955E-07
649.5796911	1.68E-07	649.5796911	5.56E-07	649.5796911	1.7041E-07
649.5865922	1.69E-07	649.5865922	5.60E-07	649.5865922	1.7127E-07
649.5934933	1.70E-07	649.5934933	5.63E-07	649.5934933	1.7214E-07
649.6003943	1.71E-07	649.6003943	5.67E-07	649.6003943	1.7301E-07
649.6072954	1.71E-07	649.6072954	5.71E-07	649.6072954	1.7389E-07
649.6141965	1.72E-07	649.6141965	5.74E-07	649.6141965	1.7478E-07
649.6210976	1.73E-07	649.6210976	5.78E-07	649.6210976	1.7567E-07
649.6279987	1.74E-07	649.6279987	5.82E-07	649.6279987	1.7656E-07
649.6348998	1.75E-07	649.6348998	5.85E-07	649.6348998	1.7746E-07
649.6418009	1.76E-07	649.6418009	5.89E-07	649.6418009	1.7837E-07
649.6487019	1.77E-07	649.6487019	5.93E-07	649.6487019	1.7928E-07
649.655603	1.78E-07	649.655603	5.97E-07	649.655603	1.802E-07
649.6625041	1.79E-07	649.6625041	6.01E-07	649.6625041	1.8112E-07
649.6694052	1.80E-07	649.6694052	6.05E-07	649.6694052	1.8205E-07
649.6763063	1.80E-07	649.6763063	6.09E-07	649.6763063	1.8298E-07
649.6832074	1.81E-07	649.6832074	6.13E-07	649.6832074	1.8392E-07
649.6901084	1.82E-07	649.6901084	6.17E-07	649.6901084	1.8486E-07
649.6970095	1.83E-07	649.6970095	6.21E-07	649.6970095	1.8581E-07
649.7039106	1.84E-07	649.7039106	6.25E-07	649.7039106	1.8676E-07
649.7108117	1.85E-07	649.7108117	6.29E-07	649.7108117	1.8773E-07
649.7177128	1.86E-07	649.7177128	6.33E-07	649.7177128	1.8869E-07
649.7246139	1.87E-07	649.7246139	6.37E-07	649.7246139	1.8966E-07
649.731515	1.88E-07	649.731515	6.42E-07	649.731515	1.9064E-07
649.738416	1.89E-07	649.738416	6.46E-07	649.738416	1.9163E-07
649.7453171	1.90E-07	649.7453171	6.50E-07	649.7453171	1.9262E-07
649.7522182	1.91E-07	649.7522182	6.54E-07	649.7522182	1.9361E-07
649.7591193	1.92E-07	649.7591193	6.59E-07	649.7591193	1.9461E-07
649.7660204	1.93E-07	649.7660204	6.63E-07	649.7660204	1.9562E-07
649.7729215	1.94E-07	649.7729215	6.67E-07	649.7729215	1.9663E-07
649.7798225	1.95E-07	649.7798225	6.72E-07	649.7798225	1.9765E-07
649.7867236	1.96E-07	649.7867236	6.76E-07	649.7867236	1.9868E-07
649.7936247	1.97E-07	649.7936247	6.81E-07	649.7936247	1.9971E-07
649.8005258	1.98E-07	649.8005258	6.85E-07	649.8005258	2.0075E-07
649.8074269	1.99E-07	649.8074269	6.90E-07	649.8074269	2.0179E-07
649.814328	2.00E-07	649.814328	6.95E-07	649.814328	2.0284E-07
649.8212291	2.01E-07	649.8212291	6.99E-07	649.8212291	2.039E-07
649.8281301	2.02E-07	649.8281301	7.04E-07	649.8281301	2.0496E-07
649.8350312	2.03E-07	649.8350312	7.09E-07	649.8350312	2.0603E-07
649.8419323	2.04E-07	649.8419323	7.13E-07	649.8419323	2.0711E-07
649.8488334	2.05E-07	649.8488334	7.18E-07	649.8488334	2.0819E-07
649.8557345	2.06E-07	649.8557345	7.23E-07	649.8557345	2.0928E-07
649.8626356	2.07E-07	649.8626356	7.28E-07	649.8626356	2.1038E-07
649.8695366	2.08E-07	649.8695366	7.33E-07	649.8695366	2.1148E-07
649.8764377	2.10E-07	649.8764377	7.38E-07	649.8764377	2.1259E-07
649.8833388	2.11E-07	649.8833388	7.43E-07	649.8833388	2.137E-07
649.8902399	2.12E-07	649.8902399	7.48E-07	649.8902399	2.1482E-07
649.897141	2.13E-07	649.897141	7.53E-07	649.897141	2.1595E-07
649.9040421	2.14E-07	649.9040421	7.58E-07	649.9040421	2.1709E-07
649.9109431	2.15E-07	649.9109431	7.63E-07	649.9109431	2.1823E-07
649.9178442	2.16E-07	649.9178442	7.68E-07	649.9178442	2.1938E-07
649.9247453	2.17E-07	649.9247453	7.73E-07	649.9247453	2.2054E-07
649.9316464	2.19E-07	649.9316464	7.79E-07	649.9316464	2.217E-07
649.9385475	2.20E-07	649.9385475	7.84E-07	649.9385475	2.2287E-07
649.9454486	2.21E-07	649.9454486	7.89E-07	649.9454486	2.2405E-07
649.9523497	2.22E-07	649.9523497	7.95E-07	649.9523497	2.2524E-07
649.9592507	2.23E-07	649.9592507	8.00E-07	649.9592507	2.2643E-07
649.9661518	2.24E-07	649.9661518	8.05E-07	649.9661518	2.2763E-07
649.9730529	2.26E-07	649.9730529	8.11E-07	649.9730529	2.2883E-07
649.979954	2.27E-07	649.979954	8.17E-07	649.979954	2.3005E-07
649.9868551	2.28E-07	649.9868551	8.22E-07	649.9868551	2.3127E-07
649.9937562	2.29E-07	649.9937562	8.28E-07	649.9937562	2.325E-07
650.0006572	2.30E-07	650.0006572	8.33E-07	650.0006572	2.3374E-07
650.0075583	2.32E-07	650.0075583	8.39E-07	650.0075583	2.3498E-07
650.0144594	2.33E-07	650.0144594	8.45E-07	650.0144594	2.3623E-07
650.0213605	2.34E-07	650.0213605	8.51E-07	650.0213605	2.3749E-07
650.0282616	2.35E-07	650.0282616	8.57E-07	650.0282616	2.3876E-07
650.0351627	2.37E-07	650.0351627	8.63E-07	650.0351627	2.4004E-07
650.0420638	2.38E-07	650.0420638	8.69E-07	650.0420638	2.4132E-07
650.0489648	2.39E-07	650.0489648	8.75E-07	650.0489648	2.4261E-07
650.0558659	2.40E-07	650.0558659	8.81E-07	650.0558659	2.4391E-07
650.062767	2.42E-07	650.062767	8.87E-07	650.062767	2.4522E-07
650.0696681	2.43E-07	650.0696681	8.93E-07	650.0696681	2.4653E-07
650.0765692	2.44E-07	650.0765692	8.99E-07	650.0765692	2.4785E-07
650.0834703	2.46E-07	650.0834703	9.05E-07	650.0834703	2.4918E-07
650.0903713	2.47E-07	650.0903713	9.12E-07	650.0903713	2.5052E-07
650.0972724	2.48E-07	650.0972724	9.18E-07	650.0972724	2.5187E-07
650.1041735	2.49E-07	650.1041735	9.24E-07	650.1041735	2.5323E-07
650.1110746	2.51E-07	650.1110746	9.31E-07	650.1110746	2.5459E-07
650.1179757	2.52E-07	650.1179757	9.37E-07	650.1179757	2.5597E-07
650.1248768	2.54E-07	650.1248768	9.44E-07	650.1248768	2.5735E-07
650.1317779	2.55E-07	650.1317779	9.51E-07	650.1317779	2.5874E-07
650.1386789	2.56E-07	650.1386789	9.57E-07	650.1386789	2.6014E-07
650.14558	2.58E-07	650.14558	9.64E-07	650.14558	2.6154E-07
650.1524811	2.59E-07	650.1524811	9.71E-07	650.1524811	2.6296E-07
650.1593822	2.60E-07	650.1593822	9.78E-07	650.1593822	2.6439E-07
650.1662833	2.62E-07	650.1662833	9.85E-07	650.1662833	2.6582E-07
650.1731844	2.63E-07	650.1731844	9.91E-07	650.1731844	2.6726E-07
650.1800854	2.65E-07	650.1800854	9.98E-07	650.1800854	2.6871E-07
650.1869865	2.66E-07	650.1869865	1.01E-06	650.1869865	2.7018E-07
650.1938876	2.68E-07	650.1938876	1.01E-06	650.1938876	2.7165E-07
650.2007887	2.69E-07	650.2007887	1.02E-06	650.2007887	2.7313E-07
650.2076898	2.71E-07	650.2076898	1.03E-06	650.2076898	2.7461E-07
650.2145909	2.72E-07	650.2145909	1.03E-06	650.2145909	2.7611E-07
650.2214919	2.73E-07	650.2214919	1.04E-06	650.2214919	2.7762E-07
650.228393	2.75E-07	650.228393	1.05E-06	650.228393	2.7914E-07
650.2352941	2.76E-07	650.2352941	1.06E-06	650.2352941	2.8066E-07
650.2421952	2.78E-07	650.2421952	1.06E-06	650.2421952	2.822E-07
650.2490963	2.79E-07	650.2490963	1.07E-06	650.2490963	2.8374E-07
650.2559974	2.81E-07	650.2559974	1.08E-06	650.2559974	2.853E-07
650.2628985	2.83E-07	650.2628985	1.09E-06	650.2628985	2.8687E-07
650.2697995	2.84E-07	650.2697995	1.09E-06	650.2697995	2.8844E-07
650.2767006	2.86E-07	650.2767006	1.10E-06	650.2767006	2.9003E-07
650.2836017	2.87E-07	650.2836017	1.11E-06	650.2836017	2.9162E-07
650.2905028	2.89E-07	650.2905028	1.12E-06	650.2905028	2.9323E-07
650.2974039	2.90E-07	650.2974039	1.13E-06	650.2974039	2.9484E-07
650.304305	2.92E-07	650.304305	1.13E-06	650.304305	2.9647E-07
650.311206	2.94E-07	650.311206	1.14E-06	650.311206	2.981E-07
650.3181071	2.95E-07	650.3181071	1.15E-06	650.3181071	2.9975E-07
650.3250082	2.97E-07	650.3250082	1.16E-06	650.3250082	3.0141E-07
650.3319093	2.98E-07	650.3319093	1.17E-06	650.3319093	3.0307E-07
650.3388104	3.00E-07	650.3388104	1.18E-06	650.3388104	3.0475E-07
650.3457115	3.02E-07	650.3457115	1.19E-06	650.3457115	3.0644E-07
650.3526126	3.03E-07	650.3526126	1.19E-06	650.3526126	3.0814E-07
650.3595136	3.05E-07	650.3595136	1.20E-06	650.3595136	3.0985E-07
650.3664147	3.07E-07	650.3664147	1.21E-06	650.3664147	3.1157E-07
650.3733158	3.09E-07	650.3733158	1.22E-06	650.3733158	3.133E-07
650.3802169	3.10E-07	650.3802169	1.23E-06	650.3802169	3.1505E-07
650.387118	3.12E-07	650.387118	1.24E-06	650.387118	3.168E-07
650.3940191	3.14E-07	650.3940191	1.25E-06	650.3940191	3.1857E-07
650.4009201	3.15E-07	650.4009201	1.26E-06	650.4009201	3.2034E-07
650.4078212	3.17E-07	650.4078212	1.27E-06	650.4078212	3.2213E-07
650.4147223	3.19E-07	650.4147223	1.27E-06	650.4147223	3.2393E-07
650.4216234	3.21E-07	650.4216234	1.28E-06	650.4216234	3.2574E-07
650.4285245	3.23E-07	650.4285245	1.29E-06	650.4285245	3.2757E-07
650.4354256	3.24E-07	650.4354256	1.30E-06	650.4354256	3.294E-07
650.4423267	3.26E-07	650.4423267	1.31E-06	650.4423267	3.3125E-07
