#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 #degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,2:36:00 PM		Spectrum@IST : Series = 2, #Group = 1Description = Created on 1/30/2019,2:36:00 PM		Spectrum@IST : Series = 2, Group = 1Description = Created #on 1/30/2019,2:36:35 PM	
#Angle of Incidence : 10.00		Angle of Incidence : 10.00		Angle of Incidence : 10.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	7.29E-07	649	6.42E-02	649	8.13E-07
649.0069011	7.34E-07	649.0069011	6.46E-02	649.0069011	8.18E-07
649.0138022	7.39E-07	649.0138022	6.49E-02	649.0138022	8.23E-07
649.0207033	7.43E-07	649.0207033	6.53E-02	649.0207033	8.2866E-07
649.0276043	7.48E-07	649.0276043	6.57E-02	649.0276043	8.3408E-07
649.0345054	7.53E-07	649.0345054	6.60E-02	649.0345054	8.3953E-07
649.0414065	7.58E-07	649.0414065	6.64E-02	649.0414065	8.4503E-07
649.0483076	7.63E-07	649.0483076	6.68E-02	649.0483076	8.5056E-07
649.0552087	7.67E-07	649.0552087	6.71E-02	649.0552087	8.5614E-07
649.0621098	7.72E-07	649.0621098	6.75E-02	649.0621098	8.6176E-07
649.0690108	7.77E-07	649.0690108	6.78E-02	649.0690108	8.6742E-07
649.0759119	7.82E-07	649.0759119	6.82E-02	649.0759119	8.7312E-07
649.082813	7.87E-07	649.082813	6.86E-02	649.082813	8.7887E-07
649.0897141	7.92E-07	649.0897141	6.89E-02	649.0897141	8.8466E-07
649.0966152	7.97E-07	649.0966152	6.93E-02	649.0966152	8.905E-07
649.1035163	8.02E-07	649.1035163	6.96E-02	649.1035163	8.9637E-07
649.1104174	8.08E-07	649.1104174	7.00E-02	649.1104174	9.023E-07
649.1173184	8.13E-07	649.1173184	7.04E-02	649.1173184	9.0826E-07
649.1242195	8.18E-07	649.1242195	7.07E-02	649.1242195	9.1428E-07
649.1311206	8.23E-07	649.1311206	7.11E-02	649.1311206	9.2033E-07
649.1380217	8.29E-07	649.1380217	7.14E-02	649.1380217	9.2644E-07
649.1449228	8.34E-07	649.1449228	7.18E-02	649.1449228	9.3259E-07
649.1518239	8.39E-07	649.1518239	7.21E-02	649.1518239	9.3879E-07
649.1587249	8.45E-07	649.1587249	7.25E-02	649.1587249	9.4503E-07
649.165626	8.50E-07	649.165626	7.28E-02	649.165626	9.5132E-07
649.1725271	8.56E-07	649.1725271	7.31E-02	649.1725271	9.5766E-07
649.1794282	8.61E-07	649.1794282	7.35E-02	649.1794282	9.6405E-07
649.1863293	8.67E-07	649.1863293	7.38E-02	649.1863293	9.7049E-07
649.1932304	8.72E-07	649.1932304	7.42E-02	649.1932304	9.7697E-07
649.2001314	8.78E-07	649.2001314	7.45E-02	649.2001314	9.8351E-07
649.2070325	8.84E-07	649.2070325	7.48E-02	649.2070325	9.901E-07
649.2139336	8.90E-07	649.2139336	7.52E-02	649.2139336	9.9673E-07
649.2208347	8.95E-07	649.2208347	7.55E-02	649.2208347	1.00342E-06
649.2277358	9.01E-07	649.2277358	7.59E-02	649.2277358	1.01016E-06
649.2346369	9.07E-07	649.2346369	7.62E-02	649.2346369	1.01695E-06
649.241538	9.13E-07	649.241538	7.65E-02	649.241538	1.02379E-06
649.248439	9.19E-07	649.248439	7.68E-02	649.248439	1.03069E-06
649.2553401	9.25E-07	649.2553401	7.72E-02	649.2553401	1.03764E-06
649.2622412	9.31E-07	649.2622412	7.75E-02	649.2622412	1.04464E-06
649.2691423	9.37E-07	649.2691423	7.78E-02	649.2691423	1.0517E-06
649.2760434	9.43E-07	649.2760434	7.81E-02	649.2760434	1.05881E-06
649.2829445	9.50E-07	649.2829445	7.85E-02	649.2829445	1.06597E-06
649.2898455	9.56E-07	649.2898455	7.88E-02	649.2898455	1.07319E-06
649.2967466	9.62E-07	649.2967466	7.91E-02	649.2967466	1.08047E-06
649.3036477	9.68E-07	649.3036477	7.94E-02	649.3036477	1.08781E-06
649.3105488	9.75E-07	649.3105488	7.98E-02	649.3105488	1.0952E-06
649.3174499	9.81E-07	649.3174499	8.01E-02	649.3174499	1.10265E-06
649.324351	9.88E-07	649.324351	8.04E-02	649.324351	1.11015E-06
649.3312521	9.94E-07	649.3312521	8.07E-02	649.3312521	1.11772E-06
649.3381531	1.00E-06	649.3381531	8.10E-02	649.3381531	1.12534E-06
649.3450542	1.01E-06	649.3450542	8.14E-02	649.3450542	1.13303E-06
649.3519553	1.01E-06	649.3519553	8.17E-02	649.3519553	1.14077E-06
649.3588564	1.02E-06	649.3588564	8.20E-02	649.3588564	1.14857E-06
649.3657575	1.03E-06	649.3657575	8.23E-02	649.3657575	1.15644E-06
649.3726586	1.03E-06	649.3726586	8.26E-02	649.3726586	1.16437E-06
649.3795596	1.04E-06	649.3795596	8.29E-02	649.3795596	1.17236E-06
649.3864607	1.05E-06	649.3864607	8.33E-02	649.3864607	1.18041E-06
649.3933618	1.06E-06	649.3933618	8.36E-02	649.3933618	1.18852E-06
649.4002629	1.06E-06	649.4002629	8.39E-02	649.4002629	1.1967E-06
649.407164	1.07E-06	649.407164	8.42E-02	649.407164	1.20495E-06
649.4140651	1.08E-06	649.4140651	8.45E-02	649.4140651	1.21325E-06
649.4209662	1.08E-06	649.4209662	8.49E-02	649.4209662	1.22163E-06
649.4278672	1.09E-06	649.4278672	8.52E-02	649.4278672	1.23007E-06
649.4347683	1.10E-06	649.4347683	8.55E-02	649.4347683	1.23857E-06
649.4416694	1.11E-06	649.4416694	8.58E-02	649.4416694	1.24715E-06
649.4485705	1.11E-06	649.4485705	8.62E-02	649.4485705	1.25579E-06
649.4554716	1.12E-06	649.4554716	8.65E-02	649.4554716	1.2645E-06
649.4623727	1.13E-06	649.4623727	8.68E-02	649.4623727	1.27328E-06
649.4692737	1.14E-06	649.4692737	8.71E-02	649.4692737	1.28213E-06
649.4761748	1.14E-06	649.4761748	8.75E-02	649.4761748	1.29105E-06
649.4830759	1.15E-06	649.4830759	8.78E-02	649.4830759	1.30004E-06
649.489977	1.16E-06	649.489977	8.81E-02	649.489977	1.3091E-06
649.4968781	1.17E-06	649.4968781	8.85E-02	649.4968781	1.31824E-06
649.5037792	1.17E-06	649.5037792	8.88E-02	649.5037792	1.32744E-06
649.5106802	1.18E-06	649.5106802	8.91E-02	649.5106802	1.33673E-06
649.5175813	1.19E-06	649.5175813	8.95E-02	649.5175813	1.34608E-06
649.5244824	1.20E-06	649.5244824	8.98E-02	649.5244824	1.35551E-06
649.5313835	1.21E-06	649.5313835	9.02E-02	649.5313835	1.36502E-06
649.5382846	1.22E-06	649.5382846	9.05E-02	649.5382846	1.3746E-06
649.5451857	1.22E-06	649.5451857	9.08E-02	649.5451857	1.38426E-06
649.5520868	1.23E-06	649.5520868	9.12E-02	649.5520868	1.39399E-06
649.5589878	1.24E-06	649.5589878	9.15E-02	649.5589878	1.40381E-06
649.5658889	1.25E-06	649.5658889	9.19E-02	649.5658889	1.4137E-06
649.57279	1.26E-06	649.57279	9.22E-02	649.57279	1.42368E-06
649.5796911	1.27E-06	649.5796911	9.26E-02	649.5796911	1.43373E-06
649.5865922	1.27E-06	649.5865922	9.30E-02	649.5865922	1.44387E-06
649.5934933	1.28E-06	649.5934933	9.33E-02	649.5934933	1.45408E-06
649.6003943	1.29E-06	649.6003943	9.37E-02	649.6003943	1.46438E-06
649.6072954	1.30E-06	649.6072954	9.40E-02	649.6072954	1.47477E-06
649.6141965	1.31E-06	649.6141965	9.44E-02	649.6141965	1.48523E-06
649.6210976	1.32E-06	649.6210976	9.48E-02	649.6210976	1.49579E-06
649.6279987	1.33E-06	649.6279987	9.51E-02	649.6279987	1.50642E-06
649.6348998	1.34E-06	649.6348998	9.55E-02	649.6348998	1.51715E-06
649.6418009	1.35E-06	649.6418009	9.58E-02	649.6418009	1.52796E-06
649.6487019	1.36E-06	649.6487019	9.62E-02	649.6487019	1.53886E-06
649.655603	1.37E-06	649.655603	9.66E-02	649.655603	1.54985E-06
649.6625041	1.37E-06	649.6625041	9.69E-02	649.6625041	1.56093E-06
649.6694052	1.38E-06	649.6694052	9.73E-02	649.6694052	1.5721E-06
649.6763063	1.39E-06	649.6763063	9.77E-02	649.6763063	1.58336E-06
649.6832074	1.40E-06	649.6832074	9.80E-02	649.6832074	1.59471E-06
649.6901084	1.41E-06	649.6901084	9.84E-02	649.6901084	1.60616E-06
649.6970095	1.42E-06	649.6970095	9.88E-02	649.6970095	1.6177E-06
649.7039106	1.43E-06	649.7039106	9.91E-02	649.7039106	1.62933E-06
649.7108117	1.44E-06	649.7108117	9.95E-02	649.7108117	1.64106E-06
649.7177128	1.45E-06	649.7177128	9.99E-02	649.7177128	1.65289E-06
649.7246139	1.46E-06	649.7246139	1.00E-01	649.7246139	1.66481E-06
649.731515	1.47E-06	649.731515	1.01E-01	649.731515	1.67683E-06
649.738416	1.48E-06	649.738416	1.01E-01	649.738416	1.68896E-06
649.7453171	1.49E-06	649.7453171	1.01E-01	649.7453171	1.70118E-06
649.7522182	1.50E-06	649.7522182	1.02E-01	649.7522182	1.7135E-06
649.7591193	1.52E-06	649.7591193	1.02E-01	649.7591193	1.72592E-06
649.7660204	1.53E-06	649.7660204	1.02E-01	649.7660204	1.73845E-06
649.7729215	1.54E-06	649.7729215	1.03E-01	649.7729215	1.75108E-06
649.7798225	1.55E-06	649.7798225	1.03E-01	649.7798225	1.76382E-06
649.7867236	1.56E-06	649.7867236	1.03E-01	649.7867236	1.77666E-06
649.7936247	1.57E-06	649.7936247	1.04E-01	649.7936247	1.78961E-06
649.8005258	1.58E-06	649.8005258	1.04E-01	649.8005258	1.80267E-06
649.8074269	1.59E-06	649.8074269	1.05E-01	649.8074269	1.81584E-06
649.814328	1.60E-06	649.814328	1.05E-01	649.814328	1.82911E-06
649.8212291	1.61E-06	649.8212291	1.05E-01	649.8212291	1.8425E-06
649.8281301	1.63E-06	649.8281301	1.06E-01	649.8281301	0.000001856
649.8350312	1.64E-06	649.8350312	1.06E-01	649.8350312	1.86961E-06
