#wavelength [nm],"Tavg, 0.0 deg AOI"
487,1.96E-13
487.01,1.96E-13
487.02,1.97E-13
487.03,1.97E-13
487.04,1.97E-13
487.05,1.97E-13
487.06,1.98E-13
487.07,1.98E-13
487.08,1.98E-13
487.09,1.99E-13
487.1,1.99E-13
487.11,1.99E-13
487.12,1.99E-13
487.13,2.00E-13
487.14,2.00E-13
487.15,2.00E-13
487.16,2.01E-13
487.17,2.01E-13
487.18,2.01E-13
487.19,2.02E-13
487.2,2.02E-13
487.21,2.02E-13
487.22,2.03E-13
487.23,2.03E-13
487.24,2.03E-13
487.25,2.03E-13
487.26,2.04E-13
487.27,2.04E-13
487.28,2.04E-13
487.29,2.05E-13
487.3,2.05E-13
487.31,2.05E-13
487.32,2.06E-13
487.33,2.06E-13
487.34,2.06E-13
487.35,2.07E-13
487.36,2.07E-13
487.37,2.07E-13
487.38,2.08E-13
487.39,2.08E-13
487.4,2.08E-13
487.41,2.09E-13
487.42,2.09E-13
487.43,2.09E-13
487.44,2.10E-13
487.45,2.10E-13
487.46,2.10E-13
487.47,2.11E-13
487.48,2.11E-13
487.49,2.11E-13
487.5,2.12E-13
487.51,2.12E-13
487.52,2.12E-13
487.53,2.13E-13
487.54,2.13E-13
487.55,2.14E-13
487.56,2.14E-13
487.57,2.14E-13
487.58,2.15E-13
487.59,2.15E-13
487.6,2.15E-13
487.61,2.16E-13
487.62,2.16E-13
487.63,2.16E-13
487.64,2.17E-13
487.65,2.17E-13
487.66,2.17E-13
487.67,2.18E-13
487.68,2.18E-13
487.69,2.18E-13
487.7,2.19E-13
487.71,2.19E-13
487.72,2.20E-13
487.73,2.20E-13
487.74,2.20E-13
487.75,2.21E-13
487.76,2.21E-13
487.77,2.21E-13
487.78,2.22E-13
487.79,2.22E-13
487.8,2.22E-13
487.81,2.23E-13
487.82,2.23E-13
487.83,2.24E-13
487.84,2.24E-13
487.85,2.24E-13
487.86,2.25E-13
487.87,2.25E-13
487.88,2.25E-13
487.89,2.26E-13
487.9,2.26E-13
487.91,2.26E-13
487.92,2.27E-13
487.93,2.27E-13
487.94,2.28E-13
487.95,2.28E-13
487.96,2.28E-13
