Ca II K	3933.663	3934.777	IS absn line
Ca II H	3968.468	3969.591	IS absn line
[OII]3726	3726.03	3727.09
[OII]3729	3728.82	3729.88
[NeIII]	3868.71	3869.81
[NeIII]	3967.41	3968.53
H12	3750.15	3751.22
H11	3770.63	3771.70
H10	3797.90	3798.98
H9	3835.39	3836.48
H8	3889.05	3890.15
Hε	3970.07	3971.19
Hδ	4101.76	4102.92
Hγ	4340.47	4341.69
Hβ	4861.33	4862.69
Hα	6562.80	6564.61
[OIII]5007	5006.84	5008.24
[OIII]4959	4958.92	4960.30
[OIII]4363	4363.21	4364.44
[NII]6549	6548.03	6549.84
[NII]6583	6583.41	6585.23
[NII]5755	5754.64	5756.24
[SII]6717	6716.47	6718.32
[SII]6731	6730.85	6732.71
Na I	5889.951	5891.583	IS absn line
Na I	5895.924	5897.558	IS absn line
He I	3888.65	3889.75
He I	5875.67	5877.30
He I	6678.152	6679.996
[O I]6300	6300.30	6302.04
[SIII]	6312.1	6313.8	Use with [SIII]9069 as T diag
[NeII]	6583.41	6585.23
[NeII]	6548.03	6549.84
[NeII]	5754.64	5756.24
[OI]5577	5577.3387	5578.8874	Strong sky line
Mg b	5167.321	5168.761
Mg b	5172.684	5174.125
Mg b	5183.604	5185.048
[ArIII]	7135.8	7137.8
[ArIII]	7751.1	7753.2
Ca II	8498.03	8500.36	CaII triplet
Ca II	8542.09	8544.44	CaII triplet
Ca II	8662.14	8664.52	CaII triplet
[SIII]	9068.6	9071.1	Use with [SIII]6312 as T diag
[SIII]	9530.6	9533.2
P11	8862.783	8865.217
P10	9014.910	9017.385
P9	9229.014	9231.547
P8	9545.972	9548.590
P7	10049.373	10052.128
Pγ	10938.095	10941.091
Pβ	12818.08 (1.281808 μm)	12821.59 (1.282159 μm)
Pα	18751.01 (1.875101 μm)	18756.13 (1.875613 μm)
[Fe II]	( μm)	(1.644 μm)
Brγ;	21655.29 (2.165529 μm)	21661.20 (2.166120 μm)
H2 S(1) 1-0;	(2.122 μm)	( μm)
H2 S(0) 1-0;	(2.223 μm)	( μm)
H2 S(1) 2-1;	(2.034 μm)	( μm)
i
